Local time,Open,High,Low,Close,Volume
19.05.2022 18:30:00.000 GMT+0430,31074.717,31323.799,31038.499,31141.699,6.161
19.05.2022 19:30:00.000 GMT+0430,31143.999,31419.779,31075.779,31309.719,5.4524
19.05.2022 20:30:00.000 GMT+0430,31311.999,31395.789,31135.299,31209.209,4.8372
19.05.2022 21:30:00.000 GMT+0430,31209.699,31425.789,31128.709,31392.247,5.2461
19.05.2022 22:30:00.000 GMT+0430,31391.719,31486.999,31262.249,31474.219,5.3527
19.05.2022 23:30:00.000 GMT+0430,31474.999,31566.789,31206.729,31245.779,5.6686
20.05.2022 00:30:00.000 GMT+0430,31246.299,31246.299,31198.499,31244.779,0.6352
20.05.2022 01:30:00.000 GMT+0430,31244.779,31244.779,31244.779,31244.779,0
20.05.2022 02:30:00.000 GMT+0430,31249.737,31309.767,31247.239,31273.239,0.1199
20.05.2022 03:30:00.000 GMT+0430,31274.799,31329.719,31250.739,31309.239,0.1639
20.05.2022 04:30:00.000 GMT+0430,31313.209,31395.497,31309.259,31354.779,0.3128
20.05.2022 05:30:00.000 GMT+0430,31354.787,31460.239,31345.299,31422.499,0.3229
20.05.2022 06:30:00.000 GMT+0430,31422.297,31436.799,31354.729,31432.239,0.2772
20.05.2022 07:30:00.000 GMT+0430,31432.277,31433.999,31380.789,31400.797,0.2069
20.05.2022 08:30:00.000 GMT+0430,31400.289,31462.999,31391.209,31455.789,0.2135
20.05.2022 09:30:00.000 GMT+0430,31455.727,31473.497,31418.209,31443.239,0.2909
20.05.2022 10:30:00.000 GMT+0430,31443.247,31465.769,31343.709,31378.719,0.2856
20.05.2022 11:30:00.000 GMT+0430,31378.747,31532.597,31356.079,31493.999,0.4316
20.05.2022 12:30:00.000 GMT+0430,31494.589,31561.549,31438.029,31527.569,0.2889
20.05.2022 13:30:00.000 GMT+0430,31527.597,31591.579,31503.559,31514.079,0.2814
20.05.2022 14:30:00.000 GMT+0430,31514.027,31550.589,31502.039,31529.529,0.2343
20.05.2022 15:30:00.000 GMT+0430,31529.547,31566.299,31481.499,31527.797,1.3734
20.05.2022 16:30:00.000 GMT+0430,31527.099,31543.299,31437.039,31477.539,1.5796
20.05.2022 17:30:00.000 GMT+0430,31478.059,31528.059,31355.739,31416.799,3.9919
20.05.2022 18:30:00.000 GMT+0430,31416.797,31455.739,31056.719,31061.719,5.0363
20.05.2022 19:30:00.000 GMT+0430,31061.707,31091.767,30946.789,31024.699,4.5668
