Local time,Open,High,Low,Close,Volume
16.12.2024 23:30:00.000 GMT+0330,43826.751,43827.739,43683.999,43721.275,0.8261
17.12.2024 00:30:00.000 GMT+0330,43720.227,43733.763,43691.203,43695.763,0.1128
17.12.2024 01:30:00.000 GMT+0330,43695.763,43695.763,43695.763,43695.763,0
17.12.2024 02:30:00.000 GMT+0330,43685.715,43692.239,43648.287,43670.999,0.0656
17.12.2024 03:30:00.000 GMT+0330,43670.263,43682.799,43655.715,43675.751,0.0737
17.12.2024 04:30:00.000 GMT+0330,43674.715,43712.999,43666.703,43709.999,0.0906
17.12.2024 05:30:00.000 GMT+0330,43709.251,43732.727,43706.727,43716.251,0.0664
17.12.2024 06:30:00.000 GMT+0330,43716.715,43718.299,43690.263,43694.739,0.0534
17.12.2024 07:30:00.000 GMT+0330,43695.739,43716.787,43685.715,43688.275,0.0518
17.12.2024 08:30:00.000 GMT+0330,43688.799,43695.787,43653.999,43657.715,0.0676
17.12.2024 09:30:00.000 GMT+0330,43657.275,43664.787,43611.203,43627.287,0.0749
17.12.2024 10:30:00.000 GMT+0330,43627.739,43631.227,43583.203,43589.499,0.1165
17.12.2024 11:30:00.000 GMT+0330,43589.703,43597.299,43546.299,43553.799,0.1408
17.12.2024 12:30:00.000 GMT+0330,43554.063,43598.299,43554.063,43592.539,0.1276
17.12.2024 13:30:00.000 GMT+0330,43593.051,43607.539,43556.075,43574.099,0.0947
17.12.2024 14:30:00.000 GMT+0330,43574.515,43606.799,43537.527,43551.063,0.1009
17.12.2024 15:30:00.000 GMT+0330,43551.503,43580.599,43539.515,43544.299,0.1038
17.12.2024 16:30:00.000 GMT+0330,43543.039,43543.075,43486.099,43531.003,0.1951
17.12.2024 17:30:00.000 GMT+0330,43531.563,43558.703,43422.999,43529.203,0.7693
17.12.2024 18:30:00.000 GMT+0330,43529.285,43529.285,43407.739,43457.263,1.0928
17.12.2024 19:30:00.000 GMT+0330,43458.775,43523.787,43431.715,43519.251,0.8858
17.12.2024 20:30:00.000 GMT+0330,43519.751,43530.775,43439.999,43455.787,0.6892
17.12.2024 21:30:00.000 GMT+0330,43455.785,43456.775,43372.263,43437.999,0.6361
