Local time,Open,High,Low,Close,Volume
16.05.2020 23:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 00:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 01:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 02:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 03:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 04:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 05:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 06:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 07:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 08:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 09:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 10:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 11:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 12:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 13:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 14:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 15:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 16:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 17:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 18:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 19:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 20:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 21:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 22:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
17.05.2020 23:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
18.05.2020 00:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
18.05.2020 01:30:00.000 GMT+0430,23602.240,23602.240,23602.240,23602.240,0
18.05.2020 02:30:00.000 GMT+0430,23656.800,23810.700,23615.710,23777.250,1.3543
18.05.2020 03:30:00.000 GMT+0430,23777.710,23822.700,23766.700,23784.790,0.984
18.05.2020 04:30:00.000 GMT+0430,23784.790,23812.710,23758.270,23788.230,1.2038
18.05.2020 05:30:00.000 GMT+0430,23787.700,23837.770,23777.290,23806.240,1.3337
18.05.2020 06:30:00.000 GMT+0430,23806.240,23894.500,23804.200,23875.240,0.9692
18.05.2020 07:30:00.000 GMT+0430,23875.240,23913.240,23864.770,23867.500,0.6756
18.05.2020 08:30:00.000 GMT+0430,23867.730,23882.000,23843.290,23877.220,0.5776
18.05.2020 09:30:00.000 GMT+0430,23877.730,23883.720,23828.720,23830.300,0.869
18.05.2020 10:30:00.000 GMT+0430,23829.740,23931.230,23828.270,23895.790,1.189
18.05.2020 11:30:00.000 GMT+0430,23896.250,23962.050,23896.250,23951.550,1.8635
18.05.2020 12:30:00.000 GMT+0430,23951.550,24011.030,23947.020,23971.080,1.5983
18.05.2020 13:30:00.000 GMT+0430,23971.080,23982.300,23910.500,23936.030,1.2636
18.05.2020 14:30:00.000 GMT+0430,23936.030,24005.070,23936.030,24003.040,1.0319
18.05.2020 15:30:00.000 GMT+0430,24004.030,24193.090,23980.000,24186.570,1.7231
18.05.2020 16:30:00.000 GMT+0430,24186.570,24393.540,24182.080,24382.000,2.4475
18.05.2020 17:30:00.000 GMT+0430,24381.550,24491.780,24314.300,24404.250,3.5858
18.05.2020 18:30:00.000 GMT+0430,24404.250,24478.300,24338.260,24455.780,3.8178
18.05.2020 19:30:00.000 GMT+0430,24455.780,24556.240,24454.240,24513.770,3.0726
18.05.2020 20:30:00.000 GMT+0430,24514.240,24535.720,24477.200,24510.710,2.5753
18.05.2020 21:30:00.000 GMT+0430,24510.710,24592.740,24505.260,24590.280,2.1227
18.05.2020 22:30:00.000 GMT+0430,24590.280,24635.760,24567.780,24599.740,2.4608
18.05.2020 23:30:00.000 GMT+0430,24599.740,24710.210,24576.500,24577.200,3.0481
19.05.2020 00:30:00.000 GMT+0430,24577.240,24601.720,24541.790,24576.000,0.6392
19.05.2020 01:30:00.000 GMT+0430,24576.000,24576.000,24576.000,24576.000,0
19.05.2020 02:30:00.000 GMT+0430,24562.800,24646.300,24519.230,24632.760,0.767
19.05.2020 03:30:00.000 GMT+0430,24632.760,24636.710,24569.710,24624.790,0.6708
19.05.2020 04:30:00.000 GMT+0430,24624.790,24640.220,24536.230,24581.270,1.6656
19.05.2020 05:30:00.000 GMT+0430,24581.270,24582.750,24500.200,24504.270,1.8697
19.05.2020 06:30:00.000 GMT+0430,24505.280,24550.740,24487.500,24522.220,1.1242
19.05.2020 07:30:00.000 GMT+0430,24522.220,24528.780,24478.240,24524.270,0.943
19.05.2020 08:30:00.000 GMT+0430,24527.200,24624.290,24526.230,24617.790,1.0477
19.05.2020 09:30:00.000 GMT+0430,24617.790,24625.260,24553.220,24570.730,0.9814
19.05.2020 10:30:00.000 GMT+0430,24570.220,24832.770,24548.220,24801.800,2.0704
19.05.2020 11:30:00.000 GMT+0430,24801.250,24801.740,24609.560,24627.550,2.9916
19.05.2020 12:30:00.000 GMT+0430,24627.550,24645.520,24455.090,24553.520,2.6911
19.05.2020 13:30:00.000 GMT+0430,24553.520,24566.300,24471.080,24513.010,2.1809
19.05.2020 14:30:00.000 GMT+0430,24513.010,24515.300,24427.020,24482.020,2.0074
